,topic_a,topic_b
1832,Computer-aided software engineering,Discrete mathematics
1833,Graphical model,Discrete mathematics
1834,Discrete mathematics,Machine learning
1835,Software analytics,Discrete mathematics
1836,Object-oriented programming,Discrete mathematics
1837,Operating system,Discrete mathematics
1838,Broadband networks,Discrete mathematics
1839,Data warehouse,Discrete mathematics
1840,Discrete mathematics,Computer vision
1841,Discrete mathematics,Modeling language
1842,System programming,Discrete mathematics
1843,Discrete mathematics,Algorithm
1844,Software architecture,Discrete mathematics
1845,Discrete mathematics,Computer network
1846,Discrete mathematics,Data structure
1847,Discrete mathematics,Cryptography
1848,Social network analysis,Discrete mathematics
1849,Computational linguistics,Discrete mathematics
1850,Discrete mathematics,Theory of computation
1851,Internet protocol suite,Discrete mathematics
1852,Data integration,Discrete mathematics
1853,Discrete mathematics,Artificial intelligence
1854,Wireless network,Discrete mathematics
1855,Object-oriented analysis and design,Discrete mathematics
1856,Computer architecture,Discrete mathematics
1857,Data mining,Discrete mathematics
1858,Network service,Operating system
1859,Operating system,Information management
1860,Operating system,Software development
1861,Parallel computing,Operating system
1862,Test automation,Operating system
1863,Information security,Operating system
1864,Software project management,Operating system
1865,Data-intensive computing,Operating system
1866,Distributed computing,Operating system
1867,Software metric,Operating system
1868,Operating system,Computer graphics
1869,Cloud computing,Operating system
1870,Network security,Operating system
1871,Software testing,Operating system
1872,Information retrieval,Operating system
1873,Knowledge management,Operating system
1874,Microarchitecture,Operating system
1875,Analysis of algorithms,Operating system
1876,Game theory,Operating system
1877,Software engineering,Operating system
1878,Distributed object,Operating system
1879,Natural language processing,Operating system
1880,Operating system,Object-oriented design
1881,Robotics,Operating system
1882,Assembly language,Operating system
1883,Operating system,Database
1884,Mobile application development,Operating system
1885,Operating system,Programming language
1886,Combinatorial optimization,Operating system
1887,Operating system,Algorithm design
1888,Computer-aided software engineering,Operating system
1889,Graphical model,Operating system
1890,Software analytics,Operating system
1891,Object-oriented programming,Operating system
1892,Operating system,Discrete mathematics
1893,Broadband networks,Operating system
1894,Data warehouse,Operating system
1895,Operating system,Computer vision
1896,System programming,Operating system
1897,Parallel processing,Operating system
1898,Operating system,Algorithm
1899,Software architecture,Operating system
1900,Operating system,Computer network
1901,Data structure,Operating system
1902,Cryptography,Operating system
1903,Social network analysis,Operating system
1904,Computational linguistics,Operating system
1905,Operating system,Theory of computation
1906,Internet protocol suite,Operating system
1907,Data integration,Operating system
1908,Wireless network,Operating system
1909,Object-oriented analysis and design,Operating system
1910,Data mining,Operating system
1911,Translator (computing),Operating system
1912,Computer security,Operating system
1913,Broadband networks,Network service
1914,Broadband networks,Software development
1915,Broadband networks,Parallel computing
1916,Broadband networks,Information security
1917,Broadband networks,Distributed computing
1918,Broadband networks,Computer graphics
1919,Broadband networks,Network security
1920,Broadband networks,Information retrieval
1921,Broadband networks,Compiler construction
1922,Broadband networks,Analysis of algorithms
1923,Broadband networks,Computational geometry
1924,Broadband networks,Natural language processing
1925,Broadband networks,Database
1926,Broadband networks,Programming language
1927,Broadband networks,Combinatorial optimization
1928,Broadband networks,Algorithm design
1929,Broadband networks,Machine learning
1930,Broadband networks,Discrete mathematics
1931,Broadband networks,Operating system
1932,Broadband networks,Computer vision
1933,Broadband networks,Modeling language
1934,Broadband networks,Algorithm
1935,Broadband networks,Computer network
1936,Broadband networks,Cryptography
1937,Broadband networks,Social network analysis
1938,Broadband networks,Theory of computation
1939,Broadband networks,Artificial intelligence
1940,Broadband networks,Wireless network
1941,Broadband networks,Computer architecture
1942,Broadband networks,Data mining
1943,Broadband networks,Computer security
1944,Data warehouse,Network service
1945,Information management,Data warehouse
1946,Data warehouse,Software development
1947,Data warehouse,Parallel computing
1948,Data warehouse,Information security
1949,Data-intensive computing,Data warehouse
1950,Data warehouse,Distributed computing
1951,Data warehouse,Computer graphics
1952,Data warehouse,Cloud computing
1953,Data warehouse,Network security
1954,Software testing,Data warehouse
1955,Information retrieval,Data warehouse
1956,Knowledge management,Data warehouse
1957,Data warehouse,Compiler construction
1958,Data warehouse,Analysis of algorithms
1959,Software engineering,Data warehouse
1960,Data warehouse,Computational geometry
1961,Data warehouse,Natural language processing
1962,Data warehouse,Assembly language
1963,Data warehouse,Database
1964,Data warehouse,Programming language
1965,Data warehouse,Algorithm design
1966,Computer-aided software engineering,Data warehouse
1967,Graphical model,Data warehouse
1968,Data warehouse,Machine learning
1969,Software analytics,Data warehouse
1970,Data warehouse,Object-oriented programming
1971,Data warehouse,Discrete mathematics
1972,Data warehouse,Operating system
1973,Data warehouse,Computer vision
1974,Data warehouse,Modeling language
1975,Data warehouse,Algorithm
1976,Software architecture,Data warehouse
1977,Data warehouse,Computer network
1978,Data warehouse,Data structure
1979,Data warehouse,Cryptography
1980,Social network analysis,Data warehouse
1981,Computational linguistics,Data warehouse
1982,Data warehouse,Theory of computation
1983,Data integration,Data warehouse
1984,Data warehouse,Artificial intelligence
1985,Data warehouse,Computer architecture
1986,Data warehouse,Data mining
1987,Data warehouse,Computer security
1988,Network service,Computer vision
1989,Software development,Computer vision
1990,Test automation,Computer vision
1991,Information security,Computer vision
1992,Software project management,Computer vision
1993,Distributed computing,Computer vision
1994,Software metric,Computer vision
1995,Computer vision,Computer graphics
1996,Cloud computing,Computer vision
1997,Network security,Computer vision
1998,Software testing,Computer vision
1999,Information retrieval,Computer vision
2000,Knowledge management,Computer vision
2001,Microarchitecture,Computer vision
2002,Computer vision,Compiler construction
2003,Computer vision,Analysis of algorithms
2004,Software engineering,Computer vision
2005,Distributed object,Computer vision
2006,Computer vision,Computational geometry
2007,Natural language processing,Computer vision
2008,Robotics,Computer vision
2009,Assembly language,Computer vision
2010,Database,Computer vision
2011,Mobile application development,Computer vision
2012,Computer vision,Programming language
2013,Combinatorial optimization,Computer vision
2014,Computer vision,Algorithm design
2015,Computer-aided software engineering,Computer vision
2016,Graphical model,Computer vision
2017,Computer vision,Machine learning
2018,Software analytics,Computer vision
2019,Object-oriented programming,Computer vision
2020,Discrete mathematics,Computer vision
2021,Operating system,Computer vision
2022,Broadband networks,Computer vision
2023,Data warehouse,Computer vision
2024,Modeling language,Computer vision
2025,System programming,Computer vision
2026,Computer vision,Algorithm
2027,Software architecture,Computer vision
2028,Computer vision,Computer network
2029,Computer vision,Data structure
2030,Computer vision,Cryptography
2031,Social network analysis,Computer vision
2032,Computational linguistics,Computer vision
2033,Computer vision,Theory of computation
2034,Internet protocol suite,Computer vision
2035,Data integration,Computer vision
2036,Computer vision,Artificial intelligence
2037,Wireless network,Computer vision
2038,Object-oriented analysis and design,Computer vision
2039,Computer architecture,Computer vision
2040,Data mining,Computer vision
2041,Computer security,Computer vision
2042,Network service,Modeling language
2043,Modeling language,Software development
2044,Modeling language,Parallel computing
2045,Test automation,Modeling language
2046,Information security,Modeling language
2047,Software project management,Modeling language
2048,Data-intensive computing,Modeling language
2049,Software metric,Modeling language
2050,Modeling language,Computer graphics
2051,Cloud computing,Modeling language
2052,Network security,Modeling language
2053,Modeling language,Software testing
2054,Information retrieval,Modeling language
2055,Microarchitecture,Modeling language
2056,Compiler construction,Modeling language
2057,Analysis of algorithms,Modeling language
2058,Game theory,Modeling language
2059,Modeling language,Software engineering
2060,Distributed object,Modeling language
2061,Computational geometry,Modeling language
2062,Natural language processing,Modeling language
2063,Object-oriented design,Modeling language
2064,Robotics,Modeling language
2065,Assembly language,Modeling language
2066,Modeling language,Database
2067,Mobile application development,Modeling language
2068,Modeling language,Programming language
2069,Combinatorial optimization,Modeling language
2070,Algorithm design,Modeling language
2071,Computer-aided software engineering,Modeling language
2072,Graphical model,Modeling language
2073,Machine learning,Modeling language
2074,Software analytics,Modeling language
2075,Modeling language,Object-oriented programming
2076,Discrete mathematics,Modeling language
2077,Broadband networks,Modeling language
2078,Data warehouse,Modeling language
2079,Modeling language,Computer vision
2080,System programming,Modeling language
2081,Modeling language,Algorithm
2082,Modeling language,Software architecture
2083,Modeling language,Computer network
2084,Cryptography,Modeling language
2085,Social network analysis,Modeling language
2086,Computational linguistics,Modeling language
2087,Modeling language,Theory of computation
2088,Internet protocol suite,Modeling language
2089,Data integration,Modeling language
2090,Wireless network,Modeling language
2091,Object-oriented analysis and design,Modeling language
2092,Modeling language,Computer architecture
2093,Data mining,Modeling language
2094,Computer security,Modeling language
2095,System programming,Network service
2096,System programming,Software development
2097,System programming,Parallel computing
2098,System programming,Information security
2099,Data-intensive computing,System programming
2100,System programming,Distributed computing
2101,System programming,Computer graphics
2102,System programming,Cloud computing
2103,System programming,Network security
2104,Software testing,System programming
2105,System programming,Information retrieval
2106,System programming,Compiler construction
2107,System programming,Analysis of algorithms
2108,Software engineering,System programming
2109,System programming,Computational geometry
2110,System programming,Natural language processing
2111,System programming,Assembly language
2112,System programming,Database
2113,Mobile application development,System programming
2114,System programming,Programming language
2115,System programming,Algorithm design
2116,System programming,Machine learning
2117,System programming,Object-oriented programming
2118,System programming,Discrete mathematics
2119,System programming,Operating system
2120,System programming,Computer vision
2121,System programming,Modeling language
2122,System programming,Algorithm
2123,System programming,Software architecture
2124,System programming,Computer network
2125,System programming,Data structure
2126,System programming,Cryptography
2127,Computational linguistics,System programming
2128,System programming,Theory of computation
2129,System programming,Artificial intelligence
2130,System programming,Computer architecture
2131,System programming,Data mining
2132,System programming,Computer security
2133,Parallel processing,Distributed computing
2134,Parallel processing,Computer graphics
2135,Parallel processing,Cloud computing
2136,Parallel processing,Database
2137,Parallel processing,Graphical model
2138,Parallel processing,Operating system
2139,Parallel processing,Algorithm
2140,Parallel processing,Computer network
2141,Parallel processing,Computer architecture
2142,Network service,Algorithm
2143,Software development,Algorithm
2144,Parallel computing,Algorithm
2145,Test automation,Algorithm
2146,Information security,Algorithm
2147,Software project management,Algorithm
2148,Data-intensive computing,Algorithm
2149,Distributed computing,Algorithm
2150,Software metric,Algorithm
2151,Computer graphics,Algorithm
2152,Cloud computing,Algorithm
2153,Network security,Algorithm
2154,Software testing,Algorithm
2155,Information retrieval,Algorithm
2156,Knowledge management,Algorithm
2157,Microarchitecture,Algorithm
2158,Compiler construction,Algorithm
2159,Analysis of algorithms,Algorithm
2160,Game theory,Algorithm
2161,Software engineering,Algorithm
2162,Distributed object,Algorithm
2163,Computational geometry,Algorithm
2164,Natural language processing,Algorithm
2165,Object-oriented design,Algorithm
2166,Robotics,Algorithm
2167,Assembly language,Algorithm
2168,Database,Algorithm
2169,Mobile application development,Algorithm
2170,Algorithm,Programming language
2171,Combinatorial optimization,Algorithm
2172,Algorithm design,Algorithm
2173,Computer-aided software engineering,Algorithm
2174,Graphical model,Algorithm
2175,Machine learning,Algorithm
2176,Software analytics,Algorithm
2177,Object-oriented programming,Algorithm
2178,Discrete mathematics,Algorithm
2179,Operating system,Algorithm
2180,Broadband networks,Algorithm
2181,Data warehouse,Algorithm
2182,Computer vision,Algorithm
2183,Modeling language,Algorithm
2184,System programming,Algorithm
2185,Parallel processing,Algorithm
2186,Software architecture,Algorithm
2187,Computer network,Algorithm
2188,Data structure,Algorithm
2189,Cryptography,Algorithm
2190,Social network analysis,Algorithm
2191,Computational linguistics,Algorithm
2192,Theory of computation,Algorithm
2193,Internet protocol suite,Algorithm
2194,Data integration,Algorithm
2195,Artificial intelligence,Algorithm
2196,Wireless network,Algorithm
2197,Object-oriented analysis and design,Algorithm
2198,Computer architecture,Algorithm
2199,Data mining,Algorithm
2200,Computer security,Algorithm
2201,Software architecture,Network service
2202,Software architecture,Information management
2203,Software architecture,Software development
2204,Software architecture,Parallel computing
2205,Test automation,Software architecture
2206,Software architecture,Information security
2207,Software project management,Software architecture
2208,Data-intensive computing,Software architecture
2209,Software architecture,Distributed computing
2210,Software metric,Software architecture
2211,Software architecture,Computer graphics
2212,Cloud computing,Software architecture
2213,Software architecture,Network security
2214,Software architecture,Software testing
2215,Software architecture,Information retrieval
2216,Software architecture,Knowledge management
2217,Microarchitecture,Software architecture
2218,Compiler construction,Software architecture
2219,Software architecture,Analysis of algorithms
2220,Software architecture,Software engineering
2221,Distributed object,Software architecture
2222,Software architecture,Computational geometry
2223,Software architecture,Natural language processing
2224,Object-oriented design,Software architecture
2225,Software architecture,Robotics
2226,Assembly language,Software architecture
2227,Software architecture,Database
2228,Mobile application development,Software architecture
2229,Software architecture,Programming language
2230,Combinatorial optimization,Software architecture
2231,Software architecture,Algorithm design
2232,Computer-aided software engineering,Software architecture
2233,Software architecture,Machine learning
2234,Software analytics,Software architecture
2235,Software architecture,Object-oriented programming
2236,Software architecture,Discrete mathematics
2237,Software architecture,Operating system
2238,Software architecture,Data warehouse
2239,Software architecture,Computer vision
2240,Modeling language,Software architecture
2241,System programming,Software architecture
2242,Software architecture,Algorithm
2243,Software architecture,Computer network
2244,Software architecture,Data structure
2245,Software architecture,Cryptography
2246,Software architecture,Social network analysis
2247,Computational linguistics,Software architecture
2248,Software architecture,Theory of computation
2249,Software architecture,Artificial intelligence
2250,Object-oriented analysis and design,Software architecture
2251,Software architecture,Computer architecture
2252,Software architecture,Data mining
2253,Software architecture,Computer security
2254,Network service,Computer network
2255,Computer network,Information management
2256,Software development,Computer network
2257,Parallel computing,Computer network
2258,Test automation,Computer network
2259,Information security,Computer network
2260,Software project management,Computer network
2261,Data-intensive computing,Computer network
2262,Distributed computing,Computer network
2263,Software metric,Computer network
2264,Computer graphics,Computer network
2265,Cloud computing,Computer network
2266,Network security,Computer network
2267,Software testing,Computer network
2268,Information retrieval,Computer network
2269,Knowledge management,Computer network
2270,Microarchitecture,Computer network
2271,Computer network,Compiler construction
2272,Analysis of algorithms,Computer network
2273,Game theory,Computer network
2274,Software engineering,Computer network
2275,Distributed object,Computer network
2276,Computational geometry,Computer network
2277,Natural language processing,Computer network
2278,Computer network,Object-oriented design
2279,Robotics,Computer network
2280,Assembly language,Computer network
2281,Database,Computer network
2282,Mobile application development,Computer network
2283,Computer network,Programming language
2284,Combinatorial optimization,Computer network
2285,Algorithm design,Computer network
2286,Computer-aided software engineering,Computer network
2287,Graphical model,Computer network
2288,Machine learning,Computer network
2289,Software analytics,Computer network
2290,Object-oriented programming,Computer network
2291,Discrete mathematics,Computer network
2292,Operating system,Computer network
2293,Broadband networks,Computer network
2294,Data warehouse,Computer network
2295,Computer vision,Computer network
2296,Modeling language,Computer network
2297,System programming,Computer network
2298,Parallel processing,Computer network
2299,Computer network,Algorithm
2300,Software architecture,Computer network
2301,Data structure,Computer network
2302,Cryptography,Computer network
2303,Social network analysis,Computer network
2304,Computational linguistics,Computer network
2305,Computer network,Theory of computation
2306,Internet protocol suite,Computer network
2307,Data integration,Computer network
2308,Artificial intelligence,Computer network
2309,Wireless network,Computer network
2310,Object-oriented analysis and design,Computer network
2311,Computer architecture,Computer network
2312,Data mining,Computer network
2313,Computer network,Translator (computing)
2314,Computer security,Computer network
2315,Network service,Data structure
2316,Information management,Data structure
2317,Data structure,Software development
2318,Data structure,Parallel computing
2319,Test automation,Data structure
2320,Information security,Data structure
2321,Software project management,Data structure
2322,Data-intensive computing,Data structure
2323,Distributed computing,Data structure
2324,Software metric,Data structure
2325,Computer graphics,Data structure
2326,Cloud computing,Data structure
2327,Data structure,Network security
2328,Software testing,Data structure
2329,Information retrieval,Data structure
2330,Knowledge management,Data structure
2331,Microarchitecture,Data structure
2332,Compiler construction,Data structure
2333,Data structure,Analysis of algorithms
2334,Game theory,Data structure
2335,Data structure,Software engineering
2336,Distributed object,Data structure
2337,Data structure,Computational geometry
2338,Data structure,Natural language processing
2339,Object-oriented design,Data structure
2340,Data structure,Database
2341,Mobile application development,Data structure
2342,Data structure,Programming language
2343,Combinatorial optimization,Data structure
2344,Algorithm design,Data structure
2345,Computer-aided software engineering,Data structure
2346,Data structure,Machine learning
2347,Software analytics,Data structure
2348,Data structure,Object-oriented programming
2349,Discrete mathematics,Data structure
2350,Data structure,Operating system
2351,Data warehouse,Data structure
2352,Computer vision,Data structure
2353,System programming,Data structure
2354,Data structure,Algorithm
2355,Software architecture,Data structure
2356,Data structure,Computer network
2357,Data structure,Cryptography
2358,Social network analysis,Data structure
2359,Computational linguistics,Data structure
2360,Data integration,Data structure
2361,Data structure,Artificial intelligence
2362,Object-oriented analysis and design,Data structure
2363,Data structure,Computer architecture
2364,Data mining,Data structure
2365,Translator (computing),Data structure
2366,Computer security,Data structure
2367,Cryptography,Software development
2368,Cryptography,Parallel computing
2369,Test automation,Cryptography
2370,Cryptography,Information security
2371,Software project management,Cryptography
2372,Data-intensive computing,Cryptography
2373,Distributed computing,Cryptography
2374,Software metric,Cryptography
2375,Cryptography,Computer graphics
2376,Cloud computing,Cryptography
2377,Network security,Cryptography
2378,Software testing,Cryptography
2379,Information retrieval,Cryptography
2380,Knowledge management,Cryptography
2381,Microarchitecture,Cryptography
2382,Cryptography,Compiler construction
2383,Cryptography,Analysis of algorithms
2384,Game theory,Cryptography
2385,Software engineering,Cryptography
2386,Distributed object,Cryptography
2387,Cryptography,Computational geometry
2388,Natural language processing,Cryptography
2389,Robotics,Cryptography
2390,Assembly language,Cryptography
2391,Cryptography,Database
2392,Mobile application development,Cryptography
2393,Cryptography,Programming language
2394,Combinatorial optimization,Cryptography
2395,Cryptography,Algorithm design
2396,Computer-aided software engineering,Cryptography
2397,Graphical model,Cryptography
2398,Cryptography,Machine learning
2399,Software analytics,Cryptography
2400,Object-oriented programming,Cryptography
2401,Discrete mathematics,Cryptography
2402,Cryptography,Operating system
2403,Broadband networks,Cryptography
2404,Data warehouse,Cryptography
2405,Computer vision,Cryptography
2406,Cryptography,Modeling language
2407,System programming,Cryptography
2408,Cryptography,Algorithm
2409,Software architecture,Cryptography
2410,Cryptography,Computer network
2411,Data structure,Cryptography
2412,Social network analysis,Cryptography
2413,Computational linguistics,Cryptography
2414,Cryptography,Theory of computation
2415,Internet protocol suite,Cryptography
2416,Data integration,Cryptography
2417,Cryptography,Artificial intelligence
2418,Wireless network,Cryptography
2419,Object-oriented analysis and design,Cryptography
2420,Cryptography,Computer architecture
2421,Cryptography,Data mining
2422,Cryptography,Computer security
2423,Social network analysis,Network service
2424,Information management,Social network analysis
2425,Social network analysis,Software development
2426,Social network analysis,Parallel computing
2427,Social network analysis,Information security
2428,Social network analysis,Distributed computing
2429,Social network analysis,Computer graphics
2430,Cloud computing,Social network analysis
2431,Social network analysis,Network security
2432,Software testing,Social network analysis
2433,Social network analysis,Information retrieval
2434,Knowledge management,Social network analysis
2435,Social network analysis,Compiler construction
2436,Social network analysis,Analysis of algorithms
2437,Game theory,Social network analysis
2438,Social network analysis,Software engineering
2439,Distributed object,Social network analysis
2440,Social network analysis,Computational geometry
2441,Social network analysis,Natural language processing
2442,Social network analysis,Database
2443,Social network analysis,Programming language
2444,Social network analysis,Combinatorial optimization
2445,Social network analysis,Algorithm design
2446,Social network analysis,Graphical model
2447,Social network analysis,Machine learning
2448,Social network analysis,Discrete mathematics
2449,Social network analysis,Operating system
2450,Broadband networks,Social network analysis
2451,Social network analysis,Data warehouse
2452,Social network analysis,Computer vision
2453,Social network analysis,Modeling language
2454,Social network analysis,Algorithm
2455,Software architecture,Social network analysis
2456,Social network analysis,Computer network
2457,Social network analysis,Data structure
2458,Social network analysis,Cryptography
2459,Computational linguistics,Social network analysis
2460,Social network analysis,Theory of computation
2461,Internet protocol suite,Social network analysis
2462,Social network analysis,Data integration
2463,Social network analysis,Artificial intelligence
2464,Wireless network,Social network analysis
2465,Social network analysis,Computer architecture
2466,Social network analysis,Data mining
2467,Social network analysis,Computer security
2468,Computational linguistics,Network service
2469,Information management,Computational linguistics
2470,Computational linguistics,Software development
2471,Computational linguistics,Parallel computing
2472,Computational linguistics,Information security
2473,Computational linguistics,Software project management
2474,Computational linguistics,Distributed computing
2475,Computational linguistics,Computer graphics
2476,Computational linguistics,Cloud computing
2477,Computational linguistics,Network security
2478,Computational linguistics,Information retrieval
2479,Computational linguistics,Knowledge management
2480,Computational linguistics,Microarchitecture
2481,Computational linguistics,Compiler construction
2482,Computational linguistics,Analysis of algorithms
2483,Computational linguistics,Game theory
2484,Computational linguistics,Software engineering
2485,Computational linguistics,Computational geometry
2486,Natural language processing,Computational linguistics
2487,Computational linguistics,Object-oriented design
2488,Computational linguistics,Robotics
2489,Computational linguistics,Assembly language
2490,Computational linguistics,Database
2491,Computational linguistics,Programming language
2492,Combinatorial optimization,Computational linguistics
2493,Computational linguistics,Algorithm design
2494,Computational linguistics,Computer-aided software engineering
2495,Graphical model,Computational linguistics
2496,Computational linguistics,Machine learning
2497,Software analytics,Computational linguistics
2498,Computational linguistics,Object-oriented programming
2499,Computational linguistics,Discrete mathematics
2500,Computational linguistics,Operating system
2501,Computational linguistics,Data warehouse
2502,Computational linguistics,Computer vision
2503,Computational linguistics,Modeling language
2504,Computational linguistics,System programming
2505,Computational linguistics,Algorithm
2506,Computational linguistics,Software architecture
2507,Computational linguistics,Computer network
2508,Computational linguistics,Data structure
2509,Computational linguistics,Cryptography
2510,Computational linguistics,Social network analysis
2511,Computational linguistics,Theory of computation
2512,Computational linguistics,Internet protocol suite
2513,Computational linguistics,Data integration
2514,Computational linguistics,Artificial intelligence
2515,Computational linguistics,Wireless network
2516,Computational linguistics,Computer architecture
2517,Computational linguistics,Data mining
2518,Translator (computing),Computational linguistics
2519,Computational linguistics,Computer security
2520,Network service,Theory of computation
2521,Software development,Theory of computation
2522,Parallel computing,Theory of computation
2523,Test automation,Theory of computation
2524,Information security,Theory of computation
2525,Software project management,Theory of computation
2526,Data-intensive computing,Theory of computation
2527,Distributed computing,Theory of computation
2528,Software metric,Theory of computation
2529,Computer graphics,Theory of computation
2530,Cloud computing,Theory of computation
2531,Network security,Theory of computation
2532,Software testing,Theory of computation
2533,Information retrieval,Theory of computation
2534,Knowledge management,Theory of computation
2535,Microarchitecture,Theory of computation
2536,Compiler construction,Theory of computation
2537,Theory of computation,Analysis of algorithms
2538,Game theory,Theory of computation
2539,Software engineering,Theory of computation
2540,Distributed object,Theory of computation
2541,Computational geometry,Theory of computation
2542,Natural language processing,Theory of computation
2543,Robotics,Theory of computation
2544,Assembly language,Theory of computation
2545,Database,Theory of computation
2546,Mobile application development,Theory of computation
2547,Theory of computation,Programming language
2548,Combinatorial optimization,Theory of computation
2549,Theory of computation,Algorithm design
2550,Computer-aided software engineering,Theory of computation
2551,Graphical model,Theory of computation
2552,Machine learning,Theory of computation
2553,Software analytics,Theory of computation
2554,Object-oriented programming,Theory of computation
2555,Discrete mathematics,Theory of computation
2556,Operating system,Theory of computation
2557,Broadband networks,Theory of computation
2558,Data warehouse,Theory of computation
2559,Computer vision,Theory of computation
2560,Modeling language,Theory of computation
2561,System programming,Theory of computation
2562,Theory of computation,Algorithm
2563,Software architecture,Theory of computation
2564,Computer network,Theory of computation
2565,Cryptography,Theory of computation
2566,Social network analysis,Theory of computation
2567,Computational linguistics,Theory of computation
2568,Internet protocol suite,Theory of computation
2569,Data integration,Theory of computation
2570,Artificial intelligence,Theory of computation
2571,Wireless network,Theory of computation
2572,Object-oriented analysis and design,Theory of computation
2573,Computer architecture,Theory of computation
2574,Data mining,Theory of computation
2575,Computer security,Theory of computation
2576,Internet protocol suite,Network service
2577,Internet protocol suite,Software development
2578,Internet protocol suite,Parallel computing
2579,Internet protocol suite,Information security
2580,Internet protocol suite,Distributed computing
2581,Internet protocol suite,Computer graphics
2582,Internet protocol suite,Network security
2583,Software testing,Internet protocol suite
2584,Internet protocol suite,Information retrieval
2585,Internet protocol suite,Compiler construction
2586,Internet protocol suite,Analysis of algorithms
2587,Software engineering,Internet protocol suite
2588,Distributed object,Internet protocol suite
2589,Internet protocol suite,Computational geometry
2590,Internet protocol suite,Natural language processing
2591,Internet protocol suite,Database
2592,Internet protocol suite,Programming language
2593,Internet protocol suite,Combinatorial optimization
2594,Internet protocol suite,Algorithm design
2595,Internet protocol suite,Machine learning
2596,Internet protocol suite,Discrete mathematics
2597,Internet protocol suite,Operating system
2598,Internet protocol suite,Computer vision
2599,Internet protocol suite,Modeling language
2600,Internet protocol suite,Algorithm
2601,Internet protocol suite,Computer network
2602,Internet protocol suite,Cryptography
2603,Internet protocol suite,Social network analysis
2604,Computational linguistics,Internet protocol suite
2605,Internet protocol suite,Theory of computation
2606,Internet protocol suite,Artificial intelligence
2607,Internet protocol suite,Wireless network
2608,Internet protocol suite,Computer architecture
2609,Internet protocol suite,Data mining
2610,Internet protocol suite,Computer security
2611,Data integration,Network service
2612,Information management,Data integration
2613,Data integration,Software development
2614,Data integration,Parallel computing
2615,Data integration,Information security
2616,Data-intensive computing,Data integration
2617,Data integration,Distributed computing
2618,Data integration,Computer graphics
2619,Data integration,Cloud computing
2620,Data integration,Network security
2621,Software testing,Data integration
2622,Data integration,Information retrieval
2623,Data integration,Knowledge management
2624,Data integration,Compiler construction
2625,Data integration,Analysis of algorithms
2626,Software engineering,Data integration
2627,Data integration,Computational geometry
2628,Data integration,Natural language processing
2629,Data integration,Database
2630,Data integration,Programming language
2631,Data integration,Algorithm design
2632,Data integration,Graphical model
2633,Data integration,Machine learning
2634,Software analytics,Data integration
2635,Data integration,Object-oriented programming
2636,Data integration,Discrete mathematics
2637,Data integration,Operating system
2638,Data integration,Data warehouse
2639,Data integration,Computer vision
2640,Data integration,Modeling language
2641,Data integration,Algorithm
2642,Data integration,Computer network
2643,Data integration,Data structure
2644,Data integration,Cryptography
2645,Social network analysis,Data integration
2646,Computational linguistics,Data integration
2647,Data integration,Theory of computation
2648,Data integration,Artificial intelligence
2649,Data integration,Computer architecture
2650,Data integration,Data mining
2651,Data integration,Computer security
2652,Network service,Artificial intelligence
2653,Artificial intelligence,Information management
2654,Test automation,Artificial intelligence
2655,Information security,Artificial intelligence
2656,Software project management,Artificial intelligence
2657,Data-intensive computing,Artificial intelligence
2658,Distributed computing,Artificial intelligence
2659,Software metric,Artificial intelligence
2660,Cloud computing,Artificial intelligence
2661,Network security,Artificial intelligence
2662,Software testing,Artificial intelligence
2663,Information retrieval,Artificial intelligence
2664,Knowledge management,Artificial intelligence
2665,Microarchitecture,Artificial intelligence
2666,Artificial intelligence,Compiler construction
2667,Analysis of algorithms,Artificial intelligence
2668,Game theory,Artificial intelligence
2669,Software engineering,Artificial intelligence
2670,Distributed object,Artificial intelligence
2671,Natural language processing,Artificial intelligence
2672,Object-oriented design,Artificial intelligence
2673,Robotics,Artificial intelligence
2674,Assembly language,Artificial intelligence
2675,Artificial intelligence,Database
2676,Mobile application development,Artificial intelligence
2677,Artificial intelligence,Programming language
2678,Combinatorial optimization,Artificial intelligence
2679,Algorithm design,Artificial intelligence
2680,Computer-aided software engineering,Artificial intelligence
2681,Graphical model,Artificial intelligence
2682,Software analytics,Artificial intelligence
2683,Object-oriented programming,Artificial intelligence
2684,Discrete mathematics,Artificial intelligence
2685,Broadband networks,Artificial intelligence
2686,Data warehouse,Artificial intelligence
2687,Computer vision,Artificial intelligence
2688,System programming,Artificial intelligence
2689,Artificial intelligence,Algorithm
2690,Software architecture,Artificial intelligence
2691,Artificial intelligence,Computer network
2692,Data structure,Artificial intelligence
2693,Cryptography,Artificial intelligence
2694,Social network analysis,Artificial intelligence
2695,Computational linguistics,Artificial intelligence
2696,Artificial intelligence,Theory of computation
2697,Internet protocol suite,Artificial intelligence
2698,Data integration,Artificial intelligence
2699,Wireless network,Artificial intelligence
2700,Object-oriented analysis and design,Artificial intelligence
2701,Computer architecture,Artificial intelligence
2702,Data mining,Artificial intelligence
2703,Translator (computing),Artificial intelligence
2704,Computer security,Artificial intelligence
2705,Wireless network,Network service
2706,Wireless network,Software development
2707,Wireless network,Parallel computing
2708,Wireless network,Information security
2709,Wireless network,Distributed computing
2710,Wireless network,Computer graphics
2711,Cloud computing,Wireless network
2712,Wireless network,Network security
2713,Software testing,Wireless network
2714,Wireless network,Information retrieval
2715,Wireless network,Compiler construction
