,topic_a,topic_b,relation,refd_equal,refd_tfidf
805,Sine,Real number,0,0.5052631578947369,0.3757425155682816
806,Matrix ring,Arithmetic,1,-0.03448275862068965,-0.008730206446542788
807,Plane curve,Mathematics,1,0.7375,0.11314772683609192
808,Multiplication,Even and odd functions,0,-0.32,-0.5389384807531331
809,Right triangle,Triangle,1,0.2411067193675889,0.25740164174930114
810,Rotation of axes,Coordinate system,1,0.16410256410256413,0.4313918555784745
811,Even and odd functions,Domain of a function,0,0.24,0.5495978552278821
812,Exponential growth,Common logarithm,0,-0.05000000000000002,0.009899084108218862
813,Coordinate system,Circle,0,0.1944444444444444,-0.037522941250573705
814,Mathematics,Spherical law of cosines,0,-0.76875,-0.0035653263505232373
815,Exponential function,Function (mathematics),1,0.3103154305200341,0.4845420596827744
816,Partial fraction decomposition,Polynomial,1,0.673076923076923,0.9681265103300782
817,Trigonometry,Trigonometric functions,0,0.10600375234521577,-0.04995757772560516
818,Arithmetic,Binomial,0,-0.125,-0.030954685971980932
819,Line–line intersection,Geometry,1,0.5714285714285714,0.0
820,Number,Complex number,0,0.5686274509803921,0.19258852232819254
821,Function (mathematics),Linear function,0,-0.4911764705882353,-0.6243534380011411
822,Quadratic equation,Equation,1,0.03,0.12091139176150426
823,Mathematics,Expression (mathematics),0,-0.7638888888888888,-0.9226587179661934
824,Secant line,Mathematics,1,0.6051136363636364,0.1496803984611924
825,Mathematics,Fundamental theorem of algebra,0,-0.65625,-0.34630576387350576
826,Polynomial,Rational number,0,-0.1871794871794872,0.09189464980330007
827,Mathematics,Limit of a function,0,-0.6360294117647058,-0.8940543056780371
828,Line segment,Law of sines,0,0.006465517241379309,-0.0368671615039446
829,Quadratic equation,Sine,0,0.03618421052631579,0.3348501360341722
830,Equation solving,Nth root,0,0.2058823529411765,0.2832336360984998
831,Inverse trigonometric functions,Function (mathematics),1,0.3025210084033613,0.19590231007037776
832,Binomial,Polynomial,1,0.375,0.40693839926678704
833,Multiplication,Binomial theorem,0,-0.25535714285714284,-0.07498168909395223
834,Real number,Rational number,0,-0.4583333333333334,-0.4819355239863384
835,Limit (mathematics),Calculus,1,0.3333333333333333,0.7841650993489763
836,Limit of a function,Mathematics,1,0.6360294117647058,0.8940543056780371
837,Number,Sum,0,-0.3076923076923077,-0.26423924786803304
838,Multiplication,Fundamental theorem of algebra,0,-0.08095238095238094,-0.01844339942291179
839,Real number,System of linear equations,0,-0.6057692307692307,-0.5294465582017861
840,Line (geometry),Plane curve,0,-0.17142857142857146,-0.8186776372007428
841,Linear function,Graph of a function,0,0.1166666666666667,0.4242546879645567
842,Number,Subtraction,0,0.0117647058823529,0.021762002045445344
843,Determinant,Matrix (mathematics),1,0.1744107744107744,0.02296057723916578
844,Inequality (mathematics),Number,1,0.2337461300309597,0.0
845,Number,Nth root,0,-0.03964194373401536,-0.5118574838952874
846,Function composition,Transformation (function),0,-0.2457142857142857,0.0
847,Subtraction,Inequality (mathematics),0,-0.3543859649122807,0.0
848,Mathematical induction,Real number,0,0.525,-0.005537774379426702
849,Multiplication,Real number,0,0.3678571428571429,0.3675979493265766
850,Real number,Absolute value,0,-0.5,-0.5130990383548818
851,Complex number,Zero (complex analysis),0,-0.8181818181818182,0.0
852,Exponentiation,Multiplication,1,0.09152542372881356,0.355032259547132
853,Law of sines,Angle,1,0.20833333333333331,0.6168441429817251
854,Unit circle,Equation,0,0.07,-0.06388013999626119
855,Addition,Polynomial,0,-0.018218623481781385,0.06814123216115402
856,Arithmetic,Dot product,0,-0.00912778904665315,0.06329167958776204
857,Equation solving,Equation,1,0.2635294117647059,0.6339634770130282
858,Function (mathematics),Exponential function,0,-0.3103154305200341,-0.4845420596827744
859,Transformation (function),Mathematics,1,0.5714285714285714,0.0
860,Number,Exponential growth,0,-0.1411764705882353,-0.8028514802102527
861,Imaginary number,Complex number,1,0.6764705882352942,0.6722745934745264
862,Exponentiation,Sine,0,0.10749330954504907,0.1048229468603004
863,Periodic function,Function (mathematics),1,0.2263814616755793,0.8933726654968126
864,Equation,Linear equation,0,0.05166666666666666,0.06685028668690424
865,Mathematics,Rational function,0,-0.5710227272727273,-0.6806608602482918
866,Fundamental theorem of algebra,Algebra,1,-0.052083333333333336,0.5155715679783233
867,Real number,Limit of a sequence,0,-0.5083333333333333,-0.6968035624814449
868,Number,Linear equation,0,0.02205882352941177,-0.05373916949403286
869,Sine,Trigonometry,1,-0.13360323886639675,-0.15252074639782404
870,Mathematics,Limit (mathematics),0,-0.6278409090909091,-0.9091515193478544
871,Polar coordinate system,Number,1,0.0974264705882353,0.26121016022632515
872,Angle,Law of sines,0,-0.20833333333333331,-0.6168441429817251
873,Equation solving,Real number,0,0.6852941176470588,0.9924034616609196
874,Rational function,Mathematics,1,0.5710227272727273,0.6806608602482918
875,Function (mathematics),Continuous function,0,-0.3235294117647059,-0.6188597599991532
876,Quadratic equation,Number,1,0.04411764705882354,0.009344164712124334
877,Subtraction,Real number,0,0.4083333333333333,0.5615145082596023
878,Mathematics,Algebra,0,-0.28125,-0.42061191311795615
879,Series (mathematics),Geometric series,0,-0.5476190476190477,-0.8055113722598449
880,Addition,Complex number,0,0.14035087719298245,0.11781349379815564
881,Number,Summation,0,-0.16063348416289594,-0.4854415987922668
882,Exponential function,Exponential growth,0,-0.3760869565217392,-0.31746523401586996
883,Real number,Real line,0,-0.5833333333333333,-0.6033757480884326
884,Number,Algebraic equation,0,-0.30392156862745096,-0.19305005054072333
885,Linear inequality,Function (mathematics),1,0.5,0.03611738148984198
886,Cross product,Product (mathematics),1,-0.18774703557312253,-0.6653274010391358
887,Linear inequality,Linear function,1,0.2833333333333333,0.9358156563806688
888,Mathematics,Equation solving,0,-0.7352941176470589,-0.8713239113835419
889,Mathematics,Polar coordinate system,0,-0.53125,-0.4067447611716622
890,Mathematics,Binomial theorem,0,-0.5625,-0.09374240269218943
891,Addition,Summation,0,-0.3927125506072874,-0.43257599717529
892,Binomial theorem,Multiplication,1,0.25535714285714284,0.07498168909395223
893,Conic section,Curve,1,0.08538587848932677,0.02360424081726642
894,Curve,Plane curve,0,-0.21904761904761905,-0.6508222142263815
895,Binomial,Addition,1,0.25,0.07953792048580056
896,Triangle,Line segment,1,-0.2218890554722639,-0.3246070277356905
897,Partial fraction decomposition,Addition,1,0.4615384615384616,-0.00046830167952531483
898,Trigonometric functions,Trigonometry,1,-0.10600375234521577,0.04995757772560516
899,Summation,Number,1,0.16063348416289594,0.4854415987922668
900,Arithmetic,Summation,0,-0.0543766578249337,0.21723296292729066
901,Pythagorean trigonometric identity,Geometry,1,0.2833333333333333,0.07956673286631166
902,Arithmetic,Logarithm,0,0.14367816091954025,0.14128597301292933
903,Mathematics,Plane (geometry),0,-0.4908088235294118,-0.3199174530547764
904,Geometric series,Mathematics,1,0.7395833333333334,0.8995482784114374
905,Binomial,Summation,0,0.125,0.5176544369384317
906,Real number,Imaginary number,0,-0.6833333333333333,-0.8481842215236841
907,Logarithm,Exponentiation,1,0.1663135593220339,0.1727717564276265
908,Logarithm,Arithmetic,1,-0.14367816091954025,-0.14128597301292933
909,Mathematics,Addition,0,-0.2203947368421053,-0.4482628958055582
910,Number,Logarithm,0,-0.0232843137254902,0.0882627086138889
911,Polynomial,Function composition,0,-0.3261538461538461,-0.46126733917770707
912,Common logarithm,Number,1,0.1411764705882353,-0.05082581256781835
913,Limit (mathematics),Mathematics,1,0.6278409090909091,0.9091515193478544
914,Sine,Inverse trigonometric functions,0,-0.21804511278195488,-0.6381819590701314
915,Quadratic equation,Rational number,0,0.3083333333333333,0.39311438089299605
916,Summation,Arithmetic,1,0.0543766578249337,-0.21723296292729066
917,Equation,Zero of a function,0,-0.2325,-0.8759581278995385
