,Parent Class,Sub Class,Reference
1716,inequality,independence-dimension,
1717,inequality,triangle,
1718,inner product,inner product,
1719,inner product,function,
1720,inner product,matrices,
1721,input,input,
1722,input-output,input-output,
1723,input-output,matrix,
1724,input-output,system,
1725,intercept,intercept,
1726,interpolation,interpolation,
1727,inverse,inverse,
1728,inverse,left,
1729,inverse,matrix,
1730,inverse,moore–penrose,
1731,inverse,pseudo,
1732,inverse,right,
1733,inversion,inversion,
1734,inversion,tikhonov,
1735,invertible matrix,invertible matrix,
1736,iris ﬂower classiﬁcation,iris ﬂower classiﬁcation,
1737,iterative method for least squares,iterative method for least squares,
1738,jacobi,jacobi,
1739,jacobian,jacobian,
1740,k-means,k-means,
1741,k-means,algorithm,
1742,k-means,complexity,
1743,k-means,features,
1744,kalman,kalman,
1745,karush,karush,
1746,karush–kuhn–tucker,karush–kuhn–tucker,kkt
1747,kirchhoﬀ’s current law,kirchhoﬀ’s current law,
1748,kirchhoﬀ,kirchhoﬀ,
1749,kkt,kkt,
1750,kkt,conditions,
1751,kkt,matrix,
1752,kuhn,kuhn,
1753,kyoto prize,kyoto prize,
1754,label,label,
1755,lagrange,lagrange,
1756,lagrange,multipliers,
1757,lagrange,polynomial,
1758,lagrange,lagrange,
1759,lambert function,lambert function,
1760,lambert,lambert,
1761,laplace,laplace,
1762,laplacian matrix,laplacian matrix,
1763,laplacian regularization,laplacian regularization,
1764,least squares,least squares,
1765,least squares,bi-criterion,
1766,least squares,boolean,
1767,least squares,classiﬁer,
1768,least squares,data ﬁtting,
1769,least squares,iterative method,
1770,least squares,multi-objective,
1771,least squares,nonlinear,
1772,least squares,recursive,
1773,least squares,residual,
1774,least squares,solution method,
1775,least squares,sparse,
1776,lecun,lecun,
1777,left inverse,left inverse,
1778,legendre,legendre,
1779,leonardo of pisa,leonardo of pisa,
1780,leontief input-output model,leontief input-output model,
1781,leontief,leontief,
1782,levenberg,levenberg,
1783,levenberg–marquardt algorithm,levenberg–marquardt algorithm,
1784,leverage,leverage,
1785,likert scale,likert scale,
1786,likert,likert,
1787,line,line,
1788,line,segment,
1789,linear,linear,
1790,linear,combination,
1791,linear,dynamical system,
1792,linear,equations,
1793,linear,function,
1794,linear,least squares problem,
1795,linear,quadratic control,
1796,linear,sparse equations,
1797,linear,versus aﬃne,
1798,linear dynamical system,linear dynamical system,
1799,linear dynamical system,closed-loop,
1800,linear dynamical system,state feedback,
1801,linearity,linearity,
1802,linearly independent,linearly independent,
1803,linearly independent,row vectors,
1804,linearly independent,vectors,
1805,link,link,
1806,lloyd,lloyd,
1807,loan,loan,
1808,location vector,location vector,
1809,logarithmic spacing,logarithmic spacing,
1810,logistic regression,logistic regression,
1811,long-only portfolio,long-only portfolio,
1812,look-ahead,look-ahead,
1813,loss function,loss function,
1814,loss leader,loss leader,
1815,lower triangular matrix,lower triangular matrix,
1816,market,market,
1817,market,clearing,
1818,market,return,
1819,market,segmentation,
1820,markov model,markov model,
1821,markov,markov,
1822,markowitz,markowitz,
1823,marquardt,marquardt,
1824,mass,mass,
1825,matrix,matrix,
1826,matrix,addition,
1827,matrix,adjacency,
1828,matrix,asset return,
1829,matrix,block,
1830,matrix,cancellation,
1831,matrix,circular diﬀerence,
1832,matrix,coeﬃcients,
1833,matrix,compliance,
1834,matrix,computer representation,
1835,matrix,confusion,
1836,matrix,controllability,
1837,matrix,covariance,
1838,matrix,data,
1839,matrix,demand elasticity,
1840,matrix,diagonal,
1841,matrix,diﬀerence,
1842,matrix,dimensions,
1843,matrix,document-term,
1844,matrix,dynamics,
1845,matrix,elasticity,
1846,matrix,elements,
1847,matrix,equality,
1848,matrix,feature,
1849,matrix,gram,
1850,matrix,graph,
1851,matrix,identity,
1852,matrix,image,
1853,matrix,incidence,
1854,matrix,inner product,
1855,matrix,inverse,
1856,matrix,invertible,
1857,matrix,jacobian,
1858,matrix,kkt,
1859,matrix,laplacian,
1860,matrix,least squares,
1861,matrix,left inverse,
1862,matrix,leontief input-output,
1863,matrix,lower triangular,
1864,matrix,multiplication,
1865,matrix,negative power,
1866,matrix,nonsingular,
1867,matrix,norm,
1868,matrix,orthogonal,
1869,matrix,permutation,
1870,matrix,population dynamics,
1871,matrix,power,
1872,matrix,projection,
1873,matrix,pseudo-inverse,
1874,matrix,relation,
1875,matrix,resistance,
1876,matrix,return,
1877,matrix,reverser,
1878,matrix,rotation,
1879,matrix,running sum,
1880,matrix,second diﬀerence,
1881,matrix,singular,
1882,matrix,sparse,
1883,matrix,square,
1884,matrix,squareroot,
1885,matrix,stacked,
1886,matrix,state feedback gain,
1887,matrix,subtraction,
1888,matrix,sum,
1889,matrix,symmetric,
1890,matrix,tall,
1891,matrix,toeplitz,
1892,matrix,trace,
1893,matrix,transpose,
1894,matrix,triangular,
1895,matrix,triple product,
1896,matrix,upper triangular,
1897,matrix,vandermonde,
1898,matrix,vector multiplication,
1899,matrix,wide,
1900,matrix,zero,
1901,matrix-vector product,matrix-vector product,
1902,mean,mean,
1903,mean return,mean return,
1904,mechanical equilibrium,mechanical equilibrium,
1905,minimum mean square error,minimum mean square error,mmse
1906,missing entries,missing entries,
1907,mixing audio,mixing audio,
1908,mixture of vectors,mixture of vectors,
1909,mmse,mmse,
1910,mnist,mnist,
1911,model,model,
1912,model,nonlinear,
1913,model,over-ﬁt,
1914,model,parameter,
1915,model,stratiﬁed,
1916,model,validation,
1917,modiﬁed gram–schmidt algorithm,modiﬁed gram–schmidt algorithm,
1918,monochrome image,monochrome image,
1919,moore’s law,moore’s law,
1920,moore,moore,
1921,moore,moore,
1922,moore–penrose inverse,moore–penrose inverse,
1923,motion,motion,
1924,moving average,moving average,
1925,µ (mu),µ (mu),
1926,multi-class classiﬁcation,multi-class classiﬁcation,
1927,multi-objective least squares,multi-objective least squares,
1928,multiplication,multiplication,
1929,multiplication,matrix-matrix,
1930,multiplication,matrix-vector,
1931,multiplication,scalar-matrix,
1932,multiplication,scalar-vector,
1933,multiplication,sparse matrix,
1934,nash equilibrium,nash equilibrium,
1935,nash,nash,
1936,navigation,navigation,
1937,nearest neighbor,nearest neighbor,
1938,net present value,net present value,npv
1939,netﬂix,netﬂix,
1940,network,network,
1941,neural network,neural network,
1942,newton algorithm,newton algorithm,
1943,newton’s law of motion,newton’s law of motion,
1944,newton,newton,
1945,nnz (number of nonzeros),nnz (number of nonzeros),
1946,nobel prize,nobel prize,
1947,nobel prize,leontief,
1948,nobel prize,markowitz,
1949,nobel prize,nash,
1950,node,node,
1951,nonlinear,nonlinear,
1952,nonlinear,control,
1953,nonlinear,equations,
1954,nonlinear,least squares,
1955,nonlinear,model ﬁtting,
1956,nonnegative vector,nonnegative vector,
1957,nonsingular matrix,nonsingular matrix,
1958,norm,norm,
1959,norm,euclidean,
1960,norm,frobenius,
1961,norm,matrix,
1962,norm,weighted,
1963,normal equations,normal equations,
1964,notation,notation,
1965,notation,function,
1966,notation,overloading,
1967,npv,npv,
1968,number,number,
1969,number,ﬂoating point,
1970,number,of nonzeros,
1971,nutrients,nutrients,
1972,objective,objective,
1973,objective,clustering,
1974,objective,function,
1975,observations,observations,
1976,obtuse angle,obtuse angle,
1977,occurrence vector,occurrence vector,
1978,oﬀset,oﬀset,
1979,one-hot encoding,one-hot encoding,
1980,one-versus-others classiﬁer,one-versus-others classiﬁer,
1981,ones vector,ones vector,
1982,open-loop,open-loop,
1983,optimal clustering,optimal clustering,
1984,optimal trade-oﬀ curve,optimal trade-oﬀ curve,
1985,optimality condition,optimality condition,
1986,optimality condition,least squares,
1987,optimality condition,nonlinear least squares,
1988,optimization,optimization,
1989,optimization,constrained,
1990,order,order,
1991,orthogonal,orthogonal,
1992,orthogonal,distance regression,
1993,orthogonal,matrix,
1994,orthogonal,vectors,
1995,orthogonality principle,orthogonality principle,
1996,orthonormal,orthonormal,
1997,orthonormal,basis,
1998,orthonormal,expansion,
1999,orthonormal,row vectors,
2000,orthonormal,vectors,
2001,out-of-sample validation,out-of-sample validation,
2002,outcome,outcome,
2003,outer product,outer product,
2004,over-determined,over-determined,
2005,over-ﬁt,over-ﬁt,
2006,overloading,overloading,
2007,parallelogram law,parallelogram law,
2008,parameter,parameter,
2009,parameter,model,
2010,parameter,regularization,
2011,pareto optimal,pareto optimal,
2012,pareto,pareto,
2013,partial derivative,partial derivative,
2014,path,path,
2015,penalty algorithm,penalty algorithm,
2016,penrose,penrose,
2017,permutation matrix,permutation matrix,
2018,pharmaco-kinetics,pharmaco-kinetics,
2019,phugoid mode,phugoid mode,
2020,piecewise-linear ﬁt,piecewise-linear ﬁt,
2021,pixel,pixel,
2022,polynomial,polynomial,
2023,polynomial,evaluation,
2024,polynomial,ﬁt,
2025,polynomial,interpolation,
2026,polynomial,lagrange,
2027,population dynamics,population dynamics,
2028,portfolio,portfolio,
2029,portfolio,gone bust,
2030,portfolio,leverage,
2031,portfolio,long-only,
2032,portfolio,optimization,
2033,portfolio,return,
2034,portfolio,risk,
2035,portfolio,sector exposure,
2036,portfolio,trading,
2037,portfolio,value,
2038,portfolio,vector,
2039,portfolio,weights,
2040,potential,potential,
2041,powell,powell,
2042,power of matrix,power of matrix,
2043,precision,precision,
2044,prediction error,prediction error,
2045,price,price,
2046,price,elasticity,
2047,price,equilibrium,
2048,price,vector,
2049,probability,probability,
2050,product,product,
2051,product,block matrix,
2052,product,cross,
2053,product,dot,
2054,product,inner,
2055,product,matrix-matrix,
2056,product,matrix-vector,
2057,product,outer,
2058,projection,projection,
2059,proportions,proportions,
2060,pseudo-inverse,pseudo-inverse,
2061,push-through identity,push-through identity,
2062,pythagoras of samos,pythagoras of samos,
2063,qr factorization,qr factorization,
2064,quadrature,quadrature,
2065,random features,random features,
2066,raphson,raphson,
2067,rational function,rational function,
2068,recall rate,recall rate,
2069,receiver operating characteristic,receiver operating characteristic,roc
2070,recommendation engine,recommendation engine,
2071,recursive least squares,recursive least squares,
2072,regression,regression,
2073,regression,house price,
2074,regression,logistic,
2075,regression,model,
2076,regression,to the mean,
2077,regressors,regressors,
2078,regularization,regularization,
2079,regularization,parameter,
2080,regularization,path,
2081,regularization,terms,
2082,relation,relation,
2083,relation,friend,
2084,residual,residual,
2085,residual sum of squares,residual sum of squares,rss
2086,resistance matrix,resistance matrix,
2087,return,return,
2088,return,annualized,
2089,return,matrix,
2090,return,vector,
2091,reversal function,reversal function,
2092,reverser matrix,reverser matrix,
2093,rgb,rgb,
2094,richardson,richardson,
2095,ridge regression,ridge regression,
2096,right inverse,right inverse,
2097,right-hand side,right-hand side,
2098,risk,risk,
2099,risk-free asset,risk-free asset,
2100,rms,rms,
2101,rms,deviation,
2102,rms,prediction error,
2103,rms (root-mean-square),rms (root-mean-square),
2104,roc,roc,
2105,root-mean-square,root-mean-square,rms
2106,rotation,rotation,
2107,round-oﬀ error,round-oﬀ error,
2108,row vector,row vector,
2109,row vector,linearly independent,
2110,running sum,running sum,
2111,samples,samples,
2112,sampling interval,sampling interval,
2113,scalar,scalar,
2114,scalar-matrix multiplication,scalar-matrix multiplication,
2115,scalar-vector multiplication,scalar-vector multiplication,
2116,scaling,scaling,
2117,schmidt,schmidt,
2118,schwarz,schwarz,
2119,score,score,
2120,seasonal component,seasonal component,
2121,seasonally adjusted time series,seasonally adjusted time series,
2122,second diﬀerence matrix,second diﬀerence matrix,
2123,sector exposure,sector exposure,
2124,segment,segment,
2125,sensitivity,sensitivity,
2126,shaping demand,shaping demand,
2127,short position,short position,
2128,shrinkage,shrinkage,
2129,σ (sigma),σ (sigma),
2130,sigmoid function,sigmoid function,
2131,sign function,sign function,
2132,signal,signal,
2133,signal,ﬂow graph,
2134,simpson’s rule,simpson’s rule,
2135,simpson,simpson,
2136,singular matrix,singular matrix,
2137,sink,sink,
2138,skewed classiﬁer,skewed classiﬁer,
2139,slice,slice,
2140,social network graph,social network graph,
2141,source,source,
2142,sparse,sparse,
2143,sparse,constrained least squares,
2144,sparse,least squares,
2145,sparse,linear equations,
2146,sparse,matrix,
2147,sparse,matrix multiplication,
2148,sparse,qr factorization,
2149,sparse,vector,
2150,speciﬁcity,speciﬁcity,
2151,spherical distance,spherical distance,
2152,spline,spline,
2153,square,square,
2154,square,matrix,
2155,square,system of equations,
2156,squareroot of matrix,squareroot of matrix,
2157,stacked,stacked,
2158,stacked,matrix,
2159,stacked,vector,
2160,standard deviation,standard deviation,
2161,standardization,standardization,
2162,standardized features,standardized features,
2163,state,state,
2164,state feedback control,state feedback control,
2165,std (standard deviation),std (standard deviation),
2166,steganography,steganography,
2167,steinhaus,steinhaus,
2168,stemming,stemming,
2169,stoichiometry,stoichiometry,
2170,stop words,stop words,
2171,straight-line ﬁt,straight-line ﬁt,
2172,stratiﬁed model,stratiﬁed model,
2173,subadditivity,subadditivity,
2174,submatrix,submatrix,
2175,subset vector,subset vector,
2176,subtraction,subtraction,
2177,subtraction,matrix,
2178,subtraction,vector,
2179,subvector,subvector,
2180,sum,sum,
2181,sum,linear function,
2182,sum,matrix,
2183,sum,of squares,
2184,sum,vector,
2185,superposition,superposition,
2186,supply chain dynamics,supply chain dynamics,
2187,support vector machine,support vector machine,
2188,survey response,survey response,
2189,symmetric matrix,symmetric matrix,
2190,tall matrix,tall matrix,
2191,taylor approximation,taylor approximation,
2192,taylor,taylor,
2193,term frequency inverse document frequency,term frequency inverse document frequency,tfidf
2194,test data set,test data set,
2195,tfidf,tfidf,
2196,thermal resistance,thermal resistance,
2197,tikhonov,tikhonov,
2198,time series,time series,
2199,time series,auto-regressive model,
2200,time series,de-trended,
2201,time series,prediction validation,
2202,time series,seasonally-adjusted,
2203,time series,smoothing,
2204,time series,vector,
2205,time-invariant,time-invariant,
2206,toeplitz matrix,toeplitz matrix,
2207,toeplitz,toeplitz,
2208,topic discovery,topic discovery,
2209,trace,trace,
2210,tracking,tracking,
2211,trade list,trade list,
2212,trade-oﬀ curve,trade-oﬀ curve,
2213,training data set,training data set,
2214,trajectory,trajectory,
2215,transpose,transpose,
2216,tree,tree,
2217,trend line,trend line,
2218,triangle inequality,triangle inequality,
2219,triangular matrix,triangular matrix,
2220,trim conditions,trim conditions,
2221,true negative rate,true negative rate,
2222,true positive rate,true positive rate,
2223,tucker,tucker,
2224,uncorrelated,uncorrelated,
2225,under-determined,under-determined,
2226,unit vector,unit vector,
2227,units for vector entries,units for vector entries,
2228,up-conversion,up-conversion,
2229,upper triangular matrix,upper triangular matrix,
2230,validation,validation,
2231,validation,classiﬁcation,
2232,validation,limitations,
2233,validation,set,
2234,validation,time series prediction,
2235,vandermonde matrix,vandermonde matrix,
2236,vandermonde,vandermonde,
2237,variable,variable,
2238,vector,vector,
2239,vector,addition,
2240,vector,aﬃne combination,
2241,vector,aligned,
2242,vector,angle,
2243,vector,anti-aligned,
2244,vector,ar model,
2245,vector,basis,
2246,vector,block,
2247,vector,boolean,
2248,vector,cash ﬂow,
2249,vector,clustering,
2250,vector,coeﬃcients,
2251,vector,color,
2252,vector,components,
2253,vector,computer representation,
2254,vector,correlation coeﬃcient,
2255,vector,customer purchase,
2256,vector,de-meaned,
2257,vector,dependent,
2258,vector,diﬀerence,
2259,vector,dimension,
2260,vector,distance,
2261,vector,entries,
2262,vector,equality,
2263,vector,feature,
2264,vector,histogram,
2265,vector,image,
2266,vector,independence,
2267,vector,inner product,
2268,vector,large,
2269,vector,linear combination,
2270,vector,linear dependence,
2271,vector,linear independence,
2272,vector,location,
2273,vector,matrix multiplication,
2274,vector,missing entry,
2275,vector,mixture,
2276,vector,nonnegative,
2277,vector,occurrence,
2278,vector,ones,
2279,vector,orthogonal,
2280,vector,orthonormal,
2281,vector,outer product,
2282,vector,portfolio,
2283,vector,price,
2284,vector,probability,
2285,vector,proportions,
2286,vector,quantities,
2287,vector,return,
2288,vector,rms deviation,
2289,vector,rms value,
2290,vector,row,
2291,vector,slice,
2292,vector,small,
2293,vector,sparse,
2294,vector,stacked,
2295,vector,standardization,
2296,vector,subset,
2297,vector,sum,
2298,vector,time series,
2299,vector,unit,
2300,vector,units for entries,
2301,vector,weight,
2302,vector,word count,
2303,vector,zero,
2304,vertex,vertex,
2305,video,video,
2306,warm start,warm start,
2307,way-point constraint,way-point constraint,
2308,weather zones,weather zones,
2309,weight vector,weight vector,
2310,weighted,weighted,
2311,weighted,average,
2312,weighted,gram matrix,
2313,weighted,norm,
2314,weighted,sum,
2315,weighted,sum of squares,
2316,wide matrix,wide matrix,
2317,wikipedia,wikipedia,
2318,wilkinson,wilkinson,
2319,winsor,winsor,
2320,winsorized feature,winsorized feature,
2321,word count,word count,
2322,word count,tfidf,
2323,word count,vector,
2324,z-score,z-score,
2325,zero,zero,
2326,zero,matrix,
2327,zero,vector,
2328,zip code,zip code,
